Gene	Gene_Name	Log10_Pvalue	Log_fold_change
ENSMUSG00000088185	Scarna2	-4.853	-2.255
ENSMUSG00000042286	Stab1	-7.704	-2.257
ENSMUSG00000041638	Gcn1	-6.386	-2.275
ENSMUSG00000027927	Lelp1	-5.060	-2.279
ENSMUSG00000063856	Gpx1	-5.060	-2.279
ENSMUSG00000027533	Fabp5	-6.591	-2.293
ENSMUSG00000034832	Tet3	-12.603	-2.296
ENSMUSG00000038147	Cd84	-17.083	-2.300
ENSMUSG00000038712	Mindy1	-5.268	-2.303
ENSMUSG00000022489	Pde1b	-5.479	-2.327
ENSMUSG00000021701	Plk2	-16.341	-2.340
ENSMUSG00000071713	Csf2rb	-10.028	-2.343
ENSMUSG00000039062	Anpep	-8.520	-2.344
ENSMUSG00000027878	Notch2	-7.005	-2.346
ENSMUSG00000035673	Sbno2	-10.647	-2.378
ENSMUSG00000032741	Tpcn1	-5.496	-2.396
ENSMUSG00000046805	Mpeg1	-17.446	-2.402
ENSMUSG00000037266	Rsrp1	-24.613	-2.403
ENSMUSG00000014725	Adam28	-14.677	-2.427
ENSMUSG00000026956	Uap1l1	-5.704	-2.440
ENSMUSG00000023951	Vegfa	-11.484	-2.445
ENSMUSG00000025017	Pik3ap1	-7.645	-2.448
ENSMUSG00000015120	Ube2i	-5.914	-2.462
ENSMUSG00000032812	Arap1	-20.135	-2.481
ENSMUSG00000040479	Dgkz	-15.940	-2.492
ENSMUSG00000024621	Csf1r	-9.993	-2.504
ENSMUSG00000030605	Mfge8	-24.348	-2.524
ENSMUSG00000039637	Coro7	-8.849	-2.529
ENSMUSG00000020661	Dnmt3a	-18.266	-2.532
ENSMUSG00000053158	Fes	-10.630	-2.542
ENSMUSG00000069833	Ahnak	-185.798	-2.544
ENSMUSG00000039220	Ppp1r10	-6.553	-2.545
ENSMUSG00000026656	Fcgr2b	-6.553	-2.545
ENSMUSG00000040940	Arhgef1	-14.670	-2.549
ENSMUSG00000030123	Plxnd1	-6.769	-2.565
ENSMUSG00000036636	Clcn7	-13.404	-2.591
ENSMUSG00000017760	Ctsa	-19.975	-2.607
ENSMUSG00000112023	Lilr4b	-29.140	-2.633
ENSMUSG00000022148	Fyb	-21.910	-2.653
ENSMUSG00000040613	Apobec1	-7.646	-2.661
ENSMUSG00000002147	Stat6	-7.646	-2.661
ENSMUSG00000024835	Coro1b	-5.256	-2.663
ENSMUSG00000052684	Jun	-7.646	-2.680
ENSMUSG00000019893	Ros1	-5.480	-2.691
ENSMUSG00000031808	Slc27a1	-7.868	-2.698
ENSMUSG00000066621	Tecpr1	-9.999	-2.702
ENSMUSG00000106106	CT010467.1	-50.066	-2.714
ENSMUSG00000040249	Lrp1	-95.119	-2.728
ENSMUSG00000033253	Szt2	-5.706	-2.744
ENSMUSG00000029484	Anxa3	-13.009	-2.747
ENSMUSG00000042064	Myo3b	-8.074	-2.769
ENSMUSG00000031709	Tbc1d9	-5.933	-2.770
ENSMUSG00000036057	Ptpn23	-5.690	-2.795
ENSMUSG00000036622	Atp13a2	-8.517	-2.803
ENSMUSG00000058818	Pirb	-16.905	-2.812
ENSMUSG00000001750	Tcirg1	-52.520	-2.854
ENSMUSG00000014444	Piezo1	-12.224	-2.882
ENSMUSG00000021624	Cd180	-9.417	-2.885
ENSMUSG00000063286	Gm8995	-25.100	-2.887
ENSMUSG00000060216	Arrb2	-6.362	-2.892
ENSMUSG00000068328	Aup1	-6.589	-2.916
ENSMUSG00000035891	Cerk	-12.906	-2.929
ENSMUSG00000030798	Cd37	-6.589	-2.939
ENSMUSG00000015291	Gdi1	-6.589	-2.939
ENSMUSG00000021819	Zswim8	-12.867	-2.953
ENSMUSG00000002812	Flii	-6.817	-2.961
ENSMUSG00000075590	Nrbp2	-10.794	-3.008
ENSMUSG00000058486	Wdr91	-20.217	-3.010
ENSMUSG00000025877	Hk3	-23.907	-3.017
ENSMUSG00000020263	Appl2	-10.379	-3.079
ENSMUSG00000030084	Plxna1	-28.199	-3.108
ENSMUSG00000097816	Gm26811	-11.670	-3.121
ENSMUSG00000041096	Tspyl2	-11.670	-3.134
ENSMUSG00000016933	Plcg1	-19.745	-3.162
ENSMUSG00000034480	Diaph2	-8.686	-3.170
ENSMUSG00000031453	Rasa3	-12.605	-3.200
ENSMUSG00000086056	Gm4846	-8.859	-3.245
ENSMUSG00000024190	Dusp1	-11.253	-3.467
ENSMUSG00000003134	Tbc1d8	-11.497	-3.498
ENSMUSG00000021451	Sema4d	-6.601	-3.550
ENSMUSG00000003234	Abcf3	-7.102	-3.634
ENSMUSG00000004344	Gpx5	-6.995	-3.713
ENSMUSG00000042404	Dennd4b	-7.241	-3.738
ENSMUSG00000025473	Adam8	-31.849	-3.740
ENSMUSG00000097715	Gpr137b-ps	-7.488	-3.788
ENSMUSG00000030157	Clec2d	-7.736	-3.788
ENSMUSG00000025658	Cnksr2	-9.244	-3.991
ENSMUSG00000054520	Sh3bp2	-9.499	-4.012
ENSMUSG00000028917	Plekhm2	-10.010	-4.053
ENSMUSG00000059326	Csf2ra	-19.069	-4.117
ENSMUSG00000073490	Ifi207	-39.996	-5.095
ENSMUSG00000079644	Gm1110	-25.160	-5.240
ENSMUSG00000031298	Adgrg2	-11.076	-7.528
ENSMUSG00000110641	Gm45826	-14.321	-7.917
ENSMUSG00000023210	Lcn9	-64.369	-10.198
ENSMUSG00000036449	Lcn8	-110.629	-11.039
